,album_name,album_id,artist_name,artist_id,song_name,release_date,album_uri,song_id,uri,duration_ms,explicit,popularity,playlist_id,playlist_name
10,king,0j30bP1a6wUKr8Jx4iHK3O,slenderbodies,3S4d3YRNGg2OhnNm3QvfhA,king,2018-12-12,spotify:album:0j30bP1a6wUKr8Jx4iHK3O,423VyysMCduMmvqDH5oGEB,spotify:track:423VyysMCduMmvqDH5oGEB,191440,False,0,5myx61jwlbF2iMDVWNK0Ps,wrist whippin
11,Rogue Waves,4sJXyIfwduIWFISb4iCq2f,Miguel,360IAlyVv4PCEVjgyMZrxK,waves - Tame Impala Remix,2016-02-26,spotify:album:4sJXyIfwduIWFISb4iCq2f,3lB0GMiI5KxDbTOG8V3bOx,spotify:track:3lB0GMiI5KxDbTOG8V3bOx,253346,False,69,5myx61jwlbF2iMDVWNK0Ps,wrist whippin
12,Gameshow (Deluxe Edition),7n7uMkN6MrzRL7HQmRjpRU,Two Door Cinema Club,536BYVgOnRky0xjsPT96zl,Fever,2016-10-14,spotify:album:7n7uMkN6MrzRL7HQmRjpRU,2OHK6Hj0ITquxUstNPF5TM,spotify:track:2OHK6Hj0ITquxUstNPF5TM,281920,False,0,5myx61jwlbF2iMDVWNK0Ps,wrist whippin
13,Gameshow (Deluxe Edition),7n7uMkN6MrzRL7HQmRjpRU,Two Door Cinema Club,536BYVgOnRky0xjsPT96zl,Ordinary,2016-10-14,spotify:album:7n7uMkN6MrzRL7HQmRjpRU,3AEJ5MpwV4WJSFhxj04ITx,spotify:track:3AEJ5MpwV4WJSFhxj04ITx,298933,False,0,5myx61jwlbF2iMDVWNK0Ps,wrist whippin
14,A Brief Inquiry Into Online Relationships,6PWXKiakqhI17mTYM4y6oY,The 1975,3mIj9lX2MWuHmhNCA7LSCW,It's Not Living (If It's Not With You),2018-11-30,spotify:album:6PWXKiakqhI17mTYM4y6oY,3TgMcrV32NUKjEG2ujn9eh,spotify:track:3TgMcrV32NUKjEG2ujn9eh,248335,False,71,5myx61jwlbF2iMDVWNK0Ps,wrist whippin
15,THE SCIENCE OF LETTING GO,37KtRElyaLqFapZXmFhIdC,Smallpools,4iiQabGKtS2RtTKpVkrVTw,DJs & Porsches,2017-08-04,spotify:album:37KtRElyaLqFapZXmFhIdC,7BhtNdWEvpx4n1vbqLrS93,spotify:track:7BhtNdWEvpx4n1vbqLrS93,197093,False,38,5myx61jwlbF2iMDVWNK0Ps,wrist whippin
16,3:33am,0Yo1LADdOR5RZtkilf891i,Amber Mark,0tbeZu9lv8YEKSQ9tZSslu,Lose My Cool,2017-05-12,spotify:album:0Yo1LADdOR5RZtkilf891i,3G9zeErd0kMx012kmYUrm7,spotify:track:3G9zeErd0kMx012kmYUrm7,214578,False,63,5myx61jwlbF2iMDVWNK0Ps,wrist whippin
17,In Camera,6m3FWihId7SPqUaSyEo7hm,Yumi Zouma,4tPyCwWrsvZ8OKYl7QRavL,In Camera,2018-08-21,spotify:album:6m3FWihId7SPqUaSyEo7hm,4vcyK8QHE6WsqiSnaBOtOS,spotify:track:4vcyK8QHE6WsqiSnaBOtOS,204386,False,0,5myx61jwlbF2iMDVWNK0Ps,wrist whippin
18,NOTHIN LIKE U / CHANCES,2KVBhRpYqnjAVE4eWW3W6g,KAYTRANADA,6qgnBH6iDM91ipVXv28OMu,CHANCES,2018-11-30,spotify:album:2KVBhRpYqnjAVE4eWW3W6g,439X8jGytErRiPnaoUJHju,spotify:track:439X8jGytErRiPnaoUJHju,218200,False,67,5myx61jwlbF2iMDVWNK0Ps,wrist whippin
19,sunny,0enwhVDrDgNf2QpeleSUSZ,j'san,5iMUho98faEp2w6j5p44PH,sunny,2018-04-26,spotify:album:0enwhVDrDgNf2QpeleSUSZ,0cZcOtDqLaavK7LowhTBsa,spotify:track:0cZcOtDqLaavK7LowhTBsa,139130,False,60,5myx61jwlbF2iMDVWNK0Ps,wrist whippin
