,album_name,album_id,artist_name,artist_id,song_name,release_date,album_uri,song_id,uri,duration_ms,explicit,popularity,playlist_id,playlist_name
12,Volcano,1sU8u99py6xR0RhLY70vMD,Jimmy Buffett,28AyklUmMECPwdfo8NEsV0,Fins,1979-01-01,spotify:album:1sU8u99py6xR0RhLY70vMD,4X6qvY7lDpNxq9QokS5F0u,spotify:track:4X6qvY7lDpNxq9QokS5F0u,207933,False,47,1uY4UVKMPbOFj9cdtNc6a6,sailing
13,Volcano,1sU8u99py6xR0RhLY70vMD,Jimmy Buffett,28AyklUmMECPwdfo8NEsV0,Fins,1979-01-01,spotify:album:1sU8u99py6xR0RhLY70vMD,4X6qvY7lDpNxq9QokS5F0u,spotify:track:4X6qvY7lDpNxq9QokS5F0u,207933,False,47,6pBkmo0Pn8HSjtcudqqGDE,Jimmy Buffett Best Of
14,Volcano,1sU8u99py6xR0RhLY70vMD,Jimmy Buffett,28AyklUmMECPwdfo8NEsV0,Fins,1979-01-01,spotify:album:1sU8u99py6xR0RhLY70vMD,4X6qvY7lDpNxq9QokS5F0u,spotify:track:4X6qvY7lDpNxq9QokS5F0u,207933,False,47,1uY4UVKMPbOFj9cdtNc6a6,sailing
15,Volcano,1sU8u99py6xR0RhLY70vMD,Jimmy Buffett,28AyklUmMECPwdfo8NEsV0,Fins,1979-01-01,spotify:album:1sU8u99py6xR0RhLY70vMD,4X6qvY7lDpNxq9QokS5F0u,spotify:track:4X6qvY7lDpNxq9QokS5F0u,207933,False,47,6pBkmo0Pn8HSjtcudqqGDE,Jimmy Buffett Best Of
16,"No Shoes, No Shirt, No Problems",28fqmcfV4mpPsqhdNKUeTc,Kenny Chesney,3grHWM9bx2E9vwJCdlRv9O,"No Shoes, No Shirt, No Problems",2002-04-02,spotify:album:28fqmcfV4mpPsqhdNKUeTc,208bYsadJ56km31IENM2qS,spotify:track:208bYsadJ56km31IENM2qS,209666,False,61,1uY4UVKMPbOFj9cdtNc6a6,sailing
17,Holland (2000 Remaster),56TmtkBepKW3eZKiRjEl0M,The Beach Boys,3oDbviiivRWhXwIE8hxkVV,"Sail On, Sailor - Remastered 2000",1973-01-08,spotify:album:56TmtkBepKW3eZKiRjEl0M,3U4hSjTlK6WU0wORlAne9H,spotify:track:3U4hSjTlK6WU0wORlAne9H,202426,False,47,1uY4UVKMPbOFj9cdtNc6a6,sailing
18,Uncaged,6u9LSUXpp53v2ypU6DRjlA,Zac Brown Band,6yJCxee7QumYr820xdIsjo,Island Song,2012-07-06,spotify:album:6u9LSUXpp53v2ypU6DRjlA,4I3nwwubSmlAaA9PJa0lvH,spotify:track:4I3nwwubSmlAaA9PJa0lvH,223306,False,59,1uY4UVKMPbOFj9cdtNc6a6,sailing
19,JEKYLL + HYDE,1xy141zMRluP7YaE94IawT,Zac Brown Band,6yJCxee7QumYr820xdIsjo,Castaway,2015-04-28,spotify:album:1xy141zMRluP7YaE94IawT,5PNcJn4oFNvlRfrZBHfqWh,spotify:track:5PNcJn4oFNvlRfrZBHfqWh,188053,False,61,1uY4UVKMPbOFj9cdtNc6a6,sailing
20,Volcano,1sU8u99py6xR0RhLY70vMD,Jimmy Buffett,28AyklUmMECPwdfo8NEsV0,Boat Drinks,1979-01-01,spotify:album:1sU8u99py6xR0RhLY70vMD,4VJHw4VLJTx4IC0xFQz7Gh,spotify:track:4VJHw4VLJTx4IC0xFQz7Gh,160506,False,53,1uY4UVKMPbOFj9cdtNc6a6,sailing
21,Volcano,1sU8u99py6xR0RhLY70vMD,Jimmy Buffett,28AyklUmMECPwdfo8NEsV0,Boat Drinks,1979-01-01,spotify:album:1sU8u99py6xR0RhLY70vMD,4VJHw4VLJTx4IC0xFQz7Gh,spotify:track:4VJHw4VLJTx4IC0xFQz7Gh,160506,False,53,6pBkmo0Pn8HSjtcudqqGDE,Jimmy Buffett Best Of
