,album_name,album_id
0,No Label II,56PJDByaunMWwCqs5rV3Nc
1,Yung Rich Nation,0sv4nM5FtA8Y3DrvG4CXH8
2,pick up the phone,4MDMfOdhV1IyoRnklwOHG9
3,JEFFERY,7EpUpNUkkEGnaCvkcn1j4H
4,Slime Season 3,2z4c8M8aVzl7CTobIp36KF
5,I'm Up,4sAB9WulPpnAcig7alDGTg
6,Champions,1xuSorM2dDIiB5zhftB5NY
7,Stay Trippy (Deluxe),1r8dmj9V9ccKNlnLEtFuIH
8,EVOL,3jJKDKdlwRS584zUlHV2Ly
9,What A Time To Be Alive,1ozpmkWcCHwsQ4QTnxOOdT
10,DS2 (Deluxe),0fUy6IdLHDpGNwavIlhEsl
11,Fan of A Fan The Album (Expanded Edition),4neocSMt40stXKK2B8Sy2G
12,No Shopping,7ARKCQ9oUwwfWT36VhQ7V5
13,ALWAYS STRIVE AND PROSPER,2h5LDCGJCWUyaoEXQZHky6
16,Blasé (feat. Future & Rae Sremmurd),5ldRgI299TdXpk14v9uUJS
17,Rodeo (Expanded Edition),4PWBTB6NYSKQwfo79I3prg
18,Campaign,7bSsdgWDh5VRI3ZVOXQEj4
19,Trap Lord,3smlfAmejcKMmAPg1G2Kki
20,Birds In The Trap Sing McKnight,42WVQWuf1teDysXiOupIZt
21,When It's Dark Out,09Q3WwGYsQe5ognkvVkmCu
22,"Hella Hoes (feat. A$AP Rocky, A$AP Ferg, A$AP Nast & A$AP Twelvyy)",2WNrT4HGWNJy7xJCZ92Oot
23,Esco Terrestrial,5VletxPN96AaegDoYdMJwy
24,The Return of East Atlanta Santa,4MoVPs5mVFmZ4N6RmNTFWB
25,Young Rich N*ggas,4YmTZjHk8SmTFTiVMXBN1A
26,Call Casting,45Xfa1nwgqACv4BG1WJYFf
27,Fake Love,1YxmW7DO2dM05gwMKTbr7l
28,Sneakin’,2z3NlPY0n0gHJPCPqrzA6V
29,Schemin Up (feat. Drake and P. Reign),6cgyMrFiZf5J9RIbwyX7WL
30,Up For Days,7MH5ah4TuR5b7ENaloxEtr
31,Culture,2AvupjUeMnSffKEV05x222
32,U Mad,0ssmI1Nu1oYmi13w6GaiDJ
33,Dark Sky Paradise (Deluxe),3QZ9gSv35M8vfQA127l3vn
34,Major Key,5qHyKDjwycRj1fJyPLt2HQ
35,"good kid, m.A.A.d city",6PBZN8cbwkqm1ERj2BGXJ1
36,The Black Album,4FWvo9oS4gRgHtAwDwUjiO
37,Kingdom Come,3A29Ss77LjRZ3sKuauWieY
38,BagBak,0FwkV00flDDvATnVTpUf3y
39,FUTURE,4YtTX4GPvBvewbJvBfXCS2
40,More Life,1lXY618HWkwYKJWBRYR4MK
42,HUMBLE.,745wm87LGZxRYeyGM0z96J
43,SremmLife 2 (Deluxe),5v6iBhIlflzR9rEd1LAMbd
44,Grand Hustle Presents In Da Streetz Volume 4 (Explicit Version),0WiZN3oSm6JDHVlBV7IRDC
45,Playboi Carti,4rJgzzfFHAVFhCSt2P4I3j
