,song_name,artist_id,artist_name,type,uri_x,song_id,uri_y,duration_ms,explicit,popularity
24,sunny,5iMUho98faEp2w6j5p44PH,j'san,artist,spotify:artist:5iMUho98faEp2w6j5p44PH,0cZcOtDqLaavK7LowhTBsa,spotify:track:0cZcOtDqLaavK7LowhTBsa,139130,False,60
25,sunny,65ZGdYSRT3Rmv6P7DN4XCC,Pandrezz,artist,spotify:artist:65ZGdYSRT3Rmv6P7DN4XCC,0cZcOtDqLaavK7LowhTBsa,spotify:track:0cZcOtDqLaavK7LowhTBsa,139130,False,60
26,Elevate,5WId4o5jdGVhptNU0uqKxu,St. Lucia,artist,spotify:artist:5WId4o5jdGVhptNU0uqKxu,5BxVRqpZi6tIhAap1ZjzVD,spotify:track:5BxVRqpZi6tIhAap1ZjzVD,308360,False,48
27,Talk,6LuN9FCkKOj5PcnpouEgny,Khalid,artist,spotify:artist:6LuN9FCkKOj5PcnpouEgny,0rTV5WefWd1J3OwIheTzxM,spotify:track:0rTV5WefWd1J3OwIheTzxM,197487,False,74
28,Talk,6nS5roXSAGhTGr34W6n7Et,Disclosure,artist,spotify:artist:6nS5roXSAGhTGr34W6n7Et,0rTV5WefWd1J3OwIheTzxM,spotify:track:0rTV5WefWd1J3OwIheTzxM,197487,False,74
29,8TEEN,6LuN9FCkKOj5PcnpouEgny,Khalid,artist,spotify:artist:6LuN9FCkKOj5PcnpouEgny,5bgwqaRSS3M8WHWruHgSL5,spotify:track:5bgwqaRSS3M8WHWruHgSL5,228600,False,79
30,Prosecco,0AepkoQhYvkjEzzwIcGxdV,Jacob Banks,artist,spotify:artist:0AepkoQhYvkjEzzwIcGxdV,1OWu2Vin6WH1gVvgO05Pw8,spotify:track:1OWu2Vin6WH1gVvgO05Pw8,208626,True,46
31,Diddy Bop (x Louis The Child),0AepkoQhYvkjEzzwIcGxdV,Jacob Banks,artist,spotify:artist:0AepkoQhYvkjEzzwIcGxdV,2KZybiXVEQExXm2vtAcP8f,spotify:track:2KZybiXVEQExXm2vtAcP8f,219626,False,55
32,Diddy Bop (x Louis The Child),7wg1qvie3KqDNQbAkTdbX0,Louis The Child,artist,spotify:artist:7wg1qvie3KqDNQbAkTdbX0,2KZybiXVEQExXm2vtAcP8f,spotify:track:2KZybiXVEQExXm2vtAcP8f,219626,False,55
33,Big Sis,6vVztIuqdDHvYWxOEXCzjN,SALES,artist,spotify:artist:6vVztIuqdDHvYWxOEXCzjN,0ARp9mXXpPflIwehy25kCa,spotify:track:0ARp9mXXpPflIwehy25kCa,166400,False,58
34,Let Go,4D42J3IJpcTm3zxzmZ7TCV,The Undercover Dream Lovers,artist,spotify:artist:4D42J3IJpcTm3zxzmZ7TCV,6hchk7cCDULpk2ag8JFjXQ,spotify:track:6hchk7cCDULpk2ag8JFjXQ,180479,False,0
35,Fire,5Ck4KWOZsbrSQpiLimooDp,Diskopunk,artist,spotify:artist:5Ck4KWOZsbrSQpiLimooDp,5jRJlGB5EP7HFKwYBKvlSA,spotify:track:5jRJlGB5EP7HFKwYBKvlSA,197749,False,47
36,Bohemian Trapsody,4xRYI6VqpkE3UwrDrAZL8L,Logic,artist,spotify:artist:4xRYI6VqpkE3UwrDrAZL8L,7Ii2ALuxW7NkLfQPhV4Rn2,spotify:track:7Ii2ALuxW7NkLfQPhV4Rn2,404666,True,53
37,Turn The Light,6emHCSoB4tJxTVXakbrpPz,Karen O,artist,spotify:artist:6emHCSoB4tJxTVXakbrpPz,6vw4YLRXNvtFxA2yxVrR6H,spotify:track:6vw4YLRXNvtFxA2yxVrR6H,199320,False,51
38,Turn The Light,2dBj3prW7gP9bCCOIQeDUf,Danger Mouse,artist,spotify:artist:2dBj3prW7gP9bCCOIQeDUf,6vw4YLRXNvtFxA2yxVrR6H,spotify:track:6vw4YLRXNvtFxA2yxVrR6H,199320,False,51
39,Morrison,7xEFii6utZmQ61kX59HmLH,FRENSHIP,artist,spotify:artist:7xEFii6utZmQ61kX59HmLH,7FwUBR93O0aSvXltMM73e7,spotify:track:7FwUBR93O0aSvXltMM73e7,235755,False,37
40,Outta My Head (with John Mayer),6LuN9FCkKOj5PcnpouEgny,Khalid,artist,spotify:artist:6LuN9FCkKOj5PcnpouEgny,09oZ9eXQ2fo6YDrPzJqAoP,spotify:track:09oZ9eXQ2fo6YDrPzJqAoP,177066,False,69
41,Outta My Head (with John Mayer),0hEurMDQu99nJRq8pTxO14,John Mayer,artist,spotify:artist:0hEurMDQu99nJRq8pTxO14,09oZ9eXQ2fo6YDrPzJqAoP,spotify:track:09oZ9eXQ2fo6YDrPzJqAoP,177066,False,69
42,Don't Lose,3EnbnmqrrvApHJs6FMvYik,Elder Island,artist,spotify:artist:3EnbnmqrrvApHJs6FMvYik,6Kk8BZZiRIClaHm0Qmkj12,spotify:track:6Kk8BZZiRIClaHm0Qmkj12,230431,False,34
43,Reason,6LtgEnShwvrqAaKohg7skM,Hablot Brown,artist,spotify:artist:6LtgEnShwvrqAaKohg7skM,7hdM3l7whE3lTHP6WsoKZT,spotify:track:7hdM3l7whE3lTHP6WsoKZT,200000,False,46
44,Reason,3w18CP1k8zFZb1GfRlPHyK,Maths Time Joy,artist,spotify:artist:3w18CP1k8zFZb1GfRlPHyK,7hdM3l7whE3lTHP6WsoKZT,spotify:track:7hdM3l7whE3lTHP6WsoKZT,200000,False,46
45,Heart in Two,57MtJQ6Sc4tIxrXIhrqVJL,Generationals,artist,spotify:artist:57MtJQ6Sc4tIxrXIhrqVJL,3FDcRqc0TH5wWERAOu1O0c,spotify:track:3FDcRqc0TH5wWERAOu1O0c,197800,False,27
46,Told You So,3M4ThdJR28z9eSMcQHAZ5G,The Fratellis,artist,spotify:artist:3M4ThdJR28z9eSMcQHAZ5G,39Mfc40ap5dWCmAAtqMAW2,spotify:track:39Mfc40ap5dWCmAAtqMAW2,242259,False,32
47,Entity,7KGI0OwY8iAL5rI5p47YyK,Tora,artist,spotify:artist:7KGI0OwY8iAL5rI5p47YyK,6ThstWIn274ADNjJBnUbEQ,spotify:track:6ThstWIn274ADNjJBnUbEQ,274714,False,10
48,Entity,6PwHyGcUfjwdjT9cdsaVWT,Merryn Jeann,artist,spotify:artist:6PwHyGcUfjwdjT9cdsaVWT,6ThstWIn274ADNjJBnUbEQ,spotify:track:6ThstWIn274ADNjJBnUbEQ,274714,False,10
49,Forget Regret,3m7Ej9zfNto7JOsjKsYhEr,The RH Factor,artist,spotify:artist:3m7Ej9zfNto7JOsjKsYhEr,34iP1qPyAfLpBAcMo7TQfN,spotify:track:34iP1qPyAfLpBAcMo7TQfN,232160,False,46
50,Forget Regret,08YadB7oKIN5eIRT7y6xLN,Stephanie McKay,artist,spotify:artist:08YadB7oKIN5eIRT7y6xLN,34iP1qPyAfLpBAcMo7TQfN,spotify:track:34iP1qPyAfLpBAcMo7TQfN,232160,False,46
51,Keep on Calling,09kXLeOXRyfNQMXRaDO4qA,Nilüfer Yanya,artist,spotify:artist:09kXLeOXRyfNQMXRaDO4qA,4FUrVPC15KK8OcABXprp3Z,spotify:track:4FUrVPC15KK8OcABXprp3Z,230310,False,0
52,"U Say (feat. Tyler, The Creator & Jay Prince)",5XenQ7XfcvQdfIbpLEFaKQ,GoldLink,artist,spotify:artist:5XenQ7XfcvQdfIbpLEFaKQ,0xYlNtVflZPG1pUbk4qp77,spotify:track:0xYlNtVflZPG1pUbk4qp77,200801,True,48
53,"U Say (feat. Tyler, The Creator & Jay Prince)",4V8LLVI7PbaPR0K2TGSxFF,"Tyler, The Creator",artist,spotify:artist:4V8LLVI7PbaPR0K2TGSxFF,0xYlNtVflZPG1pUbk4qp77,spotify:track:0xYlNtVflZPG1pUbk4qp77,200801,True,48
54,"U Say (feat. Tyler, The Creator & Jay Prince)",2TLYSzGyVYkxAgYSCqUnQj,Jay Prince,artist,spotify:artist:2TLYSzGyVYkxAgYSCqUnQj,0xYlNtVflZPG1pUbk4qp77,spotify:track:0xYlNtVflZPG1pUbk4qp77,200801,True,48
55,Rolling into One,24icoQNJSEWNu3XvqKBR68,Jordan Rakei,artist,spotify:artist:24icoQNJSEWNu3XvqKBR68,6rDunNC3OsxLUkxK1aEjnL,spotify:track:6rDunNC3OsxLUkxK1aEjnL,259196,False,0
56,Hurry,4ULO7IGI3M2bo0Ap7B9h8a,Teyana Taylor,artist,spotify:artist:4ULO7IGI3M2bo0Ap7B9h8a,6NqbN00vLmWfrQSx2wjD4z,spotify:track:6NqbN00vLmWfrQSx2wjD4z,174200,True,51
57,Hurry,5K4W6rqBFWDnAN6FQUkS6x,Kanye West,artist,spotify:artist:5K4W6rqBFWDnAN6FQUkS6x,6NqbN00vLmWfrQSx2wjD4z,spotify:track:6NqbN00vLmWfrQSx2wjD4z,174200,True,51
58,religion (u can lay your hands on me),1qpR5mURxk3d8f6mww6uKT,Shura,artist,spotify:artist:1qpR5mURxk3d8f6mww6uKT,7rl1Frsgk11OLb193JtLra,spotify:track:7rl1Frsgk11OLb193JtLra,247346,False,0
59,Untitled,4eArh1v6UwBbKkjdgHCned,Kate Bollinger,artist,spotify:artist:4eArh1v6UwBbKkjdgHCned,2IoEP9SKwBpm4DL89MKTDZ,spotify:track:2IoEP9SKwBpm4DL89MKTDZ,179500,False,0
60,Piledriver Waltz,7Ln80lUS6He07XvHI8qqHH,Arctic Monkeys,artist,spotify:artist:7Ln80lUS6He07XvHI8qqHH,4Ai0ANRDYwx6mCD4Uty1WS,spotify:track:4Ai0ANRDYwx6mCD4Uty1WS,203880,False,59
61,Through Enough (feat. GoldLink),0Ek89uaJyo6NfWK22awFvI,VanJess,artist,spotify:artist:0Ek89uaJyo6NfWK22awFvI,4KaiIuQH1EH65zWQgyWWaQ,spotify:track:4KaiIuQH1EH65zWQgyWWaQ,268773,True,43
62,Through Enough (feat. GoldLink),5XenQ7XfcvQdfIbpLEFaKQ,GoldLink,artist,spotify:artist:5XenQ7XfcvQdfIbpLEFaKQ,4KaiIuQH1EH65zWQgyWWaQ,spotify:track:4KaiIuQH1EH65zWQgyWWaQ,268773,True,43
63,Kickback,5FxD8fkQZ6KcsSYupDVoSO,Omar Apollo,artist,spotify:artist:5FxD8fkQZ6KcsSYupDVoSO,5MZQIjtghyFc4sMVUzD7MD,spotify:track:5MZQIjtghyFc4sMVUzD7MD,171106,False,53
64,Reckless,6TvjXbopXg71XRM9OZWqUc,Arin Ray,artist,spotify:artist:6TvjXbopXg71XRM9OZWqUc,1BybndP1YgPEIk6WUnL6kT,spotify:track:1BybndP1YgPEIk6WUnL6kT,233265,True,59
65,Wildin',0WjtdWS6su0f3jrW9aqEHl,Berhana,artist,spotify:artist:0WjtdWS6su0f3jrW9aqEHl,4LGg2NY9eHp0jF3L1WbCNl,spotify:track:4LGg2NY9eHp0jF3L1WbCNl,139613,True,53
66,I Wish I Missed My Ex,16rCzZOMQX7P8Kmn5YKexI,Mahalia,artist,spotify:artist:16rCzZOMQX7P8Kmn5YKexI,4jwP0pxx7su04FYc6J12EQ,spotify:track:4jwP0pxx7su04FYc6J12EQ,205263,False,58
